name,id,from,to,text
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,66,315.25,321.04,because text data can't describe what the person has observed in an objective way. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,67,321.04,325.96,_But the description can be also subjected with sentiment and so, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,68,325.96,330.28,_in general, you can imagine the text data would contain some factual _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,69,330.28,334.77,descriptions of the world plus some subjective comments. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,70,334.77,337.33,So that's why it's also possible to 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,71,337.33,341.97,do text mining to mine knowledge about the observer. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,72,341.97,345.98,_Finally, if you look at the picture to the left side of this picture, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,73,345.98,350.15,then you can see we can certainly also say something about the real world. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,74,350.15,350.88,Right? 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,75,350.88,356.86,So indeed we can do text mining to infer other real world variables. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,76,356.86,359.22,And this is often called a predictive analytics. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,77,360.6,364.0,And we want to predict the value of certain interesting variable. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,78,364.0,368.935,_So, this picture basically covered _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,79,368.935,373.44,multiple types of knowledge that we can mine from text in general. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,80,374.55,379.26,When we infer other real world variables we 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,81,379.26,384.99,could also use some of the results from 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,82,384.99,390.91,mining text data as intermediate results to help the prediction. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,83,390.91,391.94,_For example, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,84,391.94,398.05,after we mine the content of text data we might generate some summary of content. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,85,398.05,401.19,And that summary could be then used 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,86,401.19,405.003,to help us predict the variables of the real world. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,87,405.003,411.94,_Now of course this is still generated from the original text data, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,88,411.94,418.40999999999997,but I want to emphasize here that often the processing of text data 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,89,418.40999999999997,423.78,to generate some features that can help with the prediction is very important. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,90,424.96,430.1,And that's why here we show the results of 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,91,430.1,435.01,_some other mining tasks, including mining the content of text data and _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,92,435.01,439.52,_mining knowledge about the observer, can all be very helpful for prediction. _
